{
0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i
, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i
, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i
, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i
, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i
, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, 0.177-0i, 0.177-0i
, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i
, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, 0.177-0i, 0.177-0i, -0.177+0i, -0.177+0i
, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177+0i, -0.177+0i, 0.177+0i, 0.177+0i, -0.177+0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i, -0.177+0i, 0.177-0i, 0.177-0i, -0.177+0i, 0.177-0i, -0.177+0i, -0.177+0i, 0.177-0i
